problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,behavioral_diversity,unique_behavioral_diversity,num_taxa,total_orgs,ave_depth,num_roots,mrca_depth,diversity,mrca_changes,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,current_phylogenetic_diversity,tree_size,num_sparse_taxa,mean_sparse_pairwise_distances,sum_sparse_pairwise_distances,variance_sparse_pairwise_distances
smallest,full,100,0_00000,True,False,-1,300,100,100,True,5,42,351142,smallest/full/100/0_00000/351142/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,87,87,False,-1,43,351143,smallest/full/100/0_00000/351143/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,132,131,100,100,True,-1,44,351144,smallest/full/100/0_00000/351144/,5.67688,294.0,1982,2000,130.246,1,123,10.9486,5,2.10998,0.304493,8,0.78628,14.4073,1,16,1.80064,3441,3442,2497,8,16430308,3
smallest,full,100,0_00000,True,False,-1,300,97,97,False,-1,45,351145,smallest/full/100/0_00000/351145/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,135,134,100,100,True,-1,46,351146,smallest/full/100/0_00000/351146/,6.9094,405.0,1950,2000,128.125,1,90,10.9162,5,2.93295,0.847875,36.0943,2.20352,73.5052,1,82,143.616,4790,4791,2565,14,27740185,9
smallest,full,100,0_00000,True,False,-1,300,92,92,False,-1,47,351147,smallest/full/100/0_00000/351147/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,138,137,100,100,True,-1,48,351148,smallest/full/100/0_00000/351148/,5.16322,323.0,1962,2000,133.107,1,125,10.9278,3,2.18934,0.545641,9,0.968642,16.1237,1,18,2.37199,3563,3564,2473,8,16329795,3
smallest,full,100,0_00000,False,True,96,95,97,97,True,-1,49,351149,smallest/full/100/0_00000/351149/,5.51829,262.0,1905,2000,90.3445,1,39,10.7222,4,2.75241,0.0338135,46.0047,9.08226,25.1093,1,105,987.756,4046,4047,2262,6,11057000,13
smallest,full,50,0_00000,False,True,268,267,98,98,True,-1,0,352100,smallest/full/100/0_00000/352100/,4.84152,225.0,1957,2000,254.55,1,103,10.8543,3,3.2837,0.0964823,78.0333,16.0418,47.1683,1,311,2722.4,5301,5302,2554,8,17080336,18
smallest,full,50,0_00000,False,False,-1,300,98,98,False,-1,1,352101,smallest/full/100/0_00000/352101/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,32,31,79,79,True,-1,2,352102,smallest/full/100/0_00000/352102/,3.83533,107.0,1936,2000,30.76,2,-1,10.8125,0,-1,-1,-1,0,8.46501,1,32,48.7694,3249,3250,2189,5,9240919,7
smallest,full,50,0_00000,False,False,-1,300,99,99,False,-1,3,352103,smallest/full/100/0_00000/352103/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,92,92,False,-1,4,352104,smallest/full/100/0_00000/352104/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,99,99,False,-1,5,352105,smallest/full/100/0_00000/352105/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,193,192,99,99,True,-1,6,352106,smallest/full/100/0_00000/352106/,5.07498,236.0,1979,2000,178.837,1,45,10.9214,2,2.93995,0.138715,28.1659,7.89377,147.879,1,272,16161,4696,4697,2530,10,19934992,31
smallest,full,50,0_00000,False,True,127,126,100,100,True,-1,7,352107,smallest/full/100/0_00000/352107/,4.67892,232.0,1942,2000,120.453,1,118,10.8762,4,1.35342,0.0027881,2.00115,0.209556,3.94907,1,6,1.50611,2060,2061,1943,3,7442852,1
smallest,full,50,0_00000,False,True,208,207,85,85,True,-1,8,352108,smallest/full/100/0_00000/352108/,6.67294,313.0,1972,2000,193.352,1,18,10.9041,2,2.96481,0.142651,18.5595,6.52073,170.769,1,352,25514,4573,4574,2491,11,22084976,48
smallest,full,50,0_00000,False,True,290,289,100,100,True,-1,9,352109,smallest/full/100/0_00000/352109/,6.84334,371.0,1955,2000,264.781,1,127,10.9208,6,3.62218,1.08613,27.2753,3.79221,206.232,1,289,4473.56,5922,5923,2582,19,36597252,17
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,10,352110,smallest/full/100/0_00000/352110/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,94,94,False,-1,11,352111,smallest/full/100/0_00000/352111/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,146,145,100,100,True,-1,12,352112,smallest/full/100/0_00000/352112/,3.23369,135.0,1948,2000,145.452,1,144,10.8756,3,1.36591,0,2,0.220406,2.95213,1,4,0.502533,2091,2092,1948,2,5598355,0
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,13,352113,smallest/full/100/0_00000/352113/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,91,91,False,-1,14,352114,smallest/full/100/0_00000/352114/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,159,158,100,100,True,-1,15,352115,smallest/full/100/0_00000/352115/,4.78188,251.0,1977,2000,155.039,1,138,10.9428,3,2.40941,0.444071,10.6174,1.29967,30.6661,1,36,20.1659,4042,4043,2566,12,24772050,8
smallest,full,50,0_00000,False,True,256,255,100,100,True,-1,16,352116,smallest/full/100/0_00000/352116/,4.14304,206.0,1982,2000,245.433,1,243,10.9486,9,1.61592,0.166667,3,0.369513,4.86681,1,6,0.59967,2665,2666,2260,4,8976390,0
smallest,full,50,0_00000,False,False,-1,300,88,88,False,-1,17,352117,smallest/full/100/0_00000/352117/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,154,153,100,100,True,-1,18,352118,smallest/full/100/0_00000/352118/,7.83724,462.0,1932,2000,138.858,1,81,10.8964,4,3.08248,0.583573,34.352,2.28464,105.835,1,125,682.431,4751,4752,2491,16,31152934,14
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,19,352119,smallest/full/100/0_00000/352119/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,102,101,100,100,True,-1,20,352120,smallest/full/100/0_00000/352120/,5.36829,263.0,1970,2000,94.8615,1,78,10.9352,6,2.51325,0.585479,11.3816,1.15679,30.5059,1,36,21.2031,4116,4117,2569,12,24291733,7
smallest,full,50,0_00000,False,True,109,108,100,100,True,-1,21,352121,smallest/full/100/0_00000/352121/,5.5631,322.0,1961,2000,106.893,1,60,10.9268,3,3.10168,0.830717,32.3158,2.83567,88.1998,1,100,262.322,5152,5153,2597,16,31717456,17
smallest,full,50,0_00000,False,True,35,34,100,100,True,-1,22,352122,smallest/full/100/0_00000/352122/,2.94066,109.0,1979,2000,34.972,1,20,10.9456,3,2.80522,0.628942,16,1.73923,29.6411,1,32,6.86434,4722,4723,2624,10,20570898,5
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,23,352123,smallest/full/100/0_00000/352123/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,126,125,99,99,True,-1,24,352124,smallest/full/100/0_00000/352124/,4.89863,237.0,1930,2000,120.499,1,27,10.7984,8,2.69724,0.0562843,93.0429,27.9656,29.5545,1,190,3959.19,4148,4149,2056,5,10490194,23
smallest,full,50,0_00000,False,False,-1,300,98,98,False,-1,25,352125,smallest/full/100/0_00000/352125/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,26,352126,smallest/full/100/0_00000/352126/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,289,288,100,100,True,-1,27,352127,smallest/full/100/0_00000/352127/,5.21645,254.0,1968,2000,279.625,1,112,10.9328,5,4.254,1.15036,28.6435,5.97161,267.194,1,348,9638.95,7466,7467,2691,19,37597399,15
smallest,full,50,0_00000,False,False,-1,300,100,100,True,2,28,352128,smallest/full/100/0_00000/352128/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,98,98,False,-1,29,352129,smallest/full/100/0_00000/352129/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,30,352130,smallest/full/100/0_00000/352130/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,118,117,100,100,True,-1,31,352131,smallest/full/100/0_00000/352131/,4.69462,274.0,1956,2000,84.4465,1,82,10.9158,5,1.38961,0.0115385,2.00455,0.247721,4.68065,1,6,0.95852,2038,2039,1957,4,8949362,0
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,32,352132,smallest/full/100/0_00000/352132/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,112,111,95,95,True,-1,33,352133,smallest/full/100/0_00000/352133/,5.53667,273.0,1920,2000,96.9375,1,42,10.7531,3,2.45942,0.0368141,27.0752,5.50807,30.0418,1,109,1064.21,3548,3549,2231,6,12289652,22
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,34,352134,smallest/full/100/0_00000/352134/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,297,296,100,100,True,-1,35,352135,smallest/full/100/0_00000/352135/,3.95105,174.0,1943,2000,292.716,1,282,10.9061,4,2.53029,0.495391,12,1.20907,21.3017,1,24,4.44034,4207,4208,2487,9,16984292,3
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,36,352136,smallest/full/100/0_00000/352136/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,100,100,True,1,37,352137,smallest/full/100/0_00000/352137/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,99,99,False,-1,38,352138,smallest/full/100/0_00000/352138/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,255,254,100,100,True,-1,39,352139,smallest/full/100/0_00000/352139/,2.96059,123.0,1950,2000,236.37,1,233,10.9152,2,1.63025,0.0102041,3.00433,0.376035,6.41536,1,8,1.27316,2601,2602,2206,6,11591165,1
smallest,full,50,0_00000,False,True,214,213,99,99,True,-1,40,352140,smallest/full/100/0_00000/352140/,6.27849,373.0,1982,2000,203.755,1,31,10.9262,2,3.28522,0.105961,39.6667,12.6066,51.0763,1,351,2074.42,5351,5352,2599,12,25042925,52
smallest,full,50,0_00000,False,True,174,173,98,98,True,-1,41,352141,smallest/full/100/0_00000/352141/,4.11179,170.0,1975,2000,162.706,1,27,10.9116,2,3.2789,0.0863052,31.0592,10.9193,42.9126,1,267,1911.68,5128,5129,2606,11,23015654,39
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,42,352142,smallest/full/100/0_00000/352142/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,199,198,100,100,True,-1,43,352143,smallest/full/100/0_00000/352143/,4.63785,229.0,1927,2000,183.417,1,181,10.8384,7,1.4146,0.0030896,2.00105,0.249043,3.90673,1,6,1.50419,2108,2109,1928,3,7249718,1
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,44,352144,smallest/full/100/0_00000/352144/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,45,352145,smallest/full/100/0_00000/352145/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,100,100,True,0,46,352146,smallest/full/100/0_00000/352146/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,False,-1,300,97,97,False,-1,47,352147,smallest/full/100/0_00000/352147/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,50,0_00000,False,True,165,164,99,99,True,-1,48,352148,smallest/full/100/0_00000/352148/,5.70615,313.0,1954,2000,156.803,1,78,10.8963,5,2.27602,0.0491074,40.0247,5.79261,37.493,1,164,3417.4,3466,3467,2156,5,9593400,10
smallest,full,50,0_00000,False,True,227,226,99,99,True,-1,49,352149,smallest/full/100/0_00000/352149/,6.50123,386.0,1916,2000,211.52,1,32,10.7547,4,2.31959,0.100927,48.75,10.0833,13.8081,1,362,1069.76,3406,3407,2166,4,8781501,7
smallest,full,25,0_00000,False,False,-1,300,93,93,False,-1,0,353100,smallest/full/100/0_00000/353100/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,25,0_00000,False,True,124,123,100,100,True,-1,1,353101,smallest/full/100/0_00000/353101/,6.85528,403.0,1986,2000,118.231,1,105,10.9526,2,2.33786,0.394558,14,1.34396,26.0626,1,28,7.29748,3952,3953,2566,10,21470832,5
smallest,full,25,0_00000,False,False,-1,300,93,93,False,-1,2,353102,smallest/full/100/0_00000/353102/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,25,0_00000,False,True,87,86,90,90,True,-1,3,353103,smallest/full/100/0_00000/353103/,6.98569,367.0,1949,2000,75.4525,1,43,10.847,3,2.42326,0.0248804,23.0075,3.40064,27.5396,1,67,655.561,3566,3567,2421,9,18871226,38
smallest,full,25,0_00000,False,True,277,276,100,100,True,-1,4,353104,smallest/full/100/0_00000/353104/,5.51697,299.0,1973,2000,269.196,1,264,10.9396,4,1.87264,0.220205,5.0017,0.558965,9.70615,1,12,2.11557,3003,3004,2372,7,15056270,2
